Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.8429495585278434,0.5604388142841403,0.21660649819494585,0.20539152759948653,0.21084998901822977,0.8410932847635382,"[[18805  1736]
 [ 1857   480]]",[0 0 0 ... 0 0 0]
KNN,0.8131829705393828,0.6386661849599902,0.2514754939697203,0.4193410355156183,0.31440487648379856,0.8328705831785891,"[[17624  2917]
 [ 1357   980]]",[0 0 1 ... 0 0 0]
GaussianNB,0.8492001049042749,0.6901985502678852,0.3365638766519824,0.49037227214377405,0.39916405433646807,0.8612118633389831,"[[18282  2259]
 [ 1191  1146]]",[1 1 1 ... 0 0 0]
Perceptron,0.8839933560625929,0.5741943583948919,0.3657917019475021,0.18485237483953787,0.24559408754974416,0.8665211851643294,"[[19792   749]
 [ 1905   432]]",[0 0 0 ... 0 0 0]
LinearSVC,0.8573301862050878,0.5411436433935723,0.2101313320825516,0.14377406931964057,0.17073170731707318,0.8452137424600052,"[[19278  1263]
 [ 2001   336]]",[0 0 0 ... 0 0 0]
SGD,0.8718419442258939,0.5490354336256883,0.2648221343873518,0.1433461703038083,0.18600777345918934,0.8544007943691327,"[[19611   930]
 [ 2002   335]]",[0 0 0 ... 0 0 0]
Dtree,0.8266893959262174,0.610162217285583,0.24625935162094764,0.3380402225074882,0.284941388638413,0.8384240584401483,"[[18123  2418]
 [ 1547   790]]",[0 0 0 ... 0 0 0]
RForest,0.8594719818165923,0.6394156488050856,0.32944832944832947,0.3628583654257595,0.34534717980044793,0.862455151802584,"[[18815  1726]
 [ 1489   848]]",[0 0 0 ... 0 0 0]
ADA,0.7494536235684938,0.5809920595266462,0.16852177309119312,0.36927685066324345,0.2314293376240279,0.7871104101387948,"[[16283  4258]
 [ 1474   863]]",[0 0 0 ... 0 0 0]
GBC,0.8243727598566308,0.613801921189713,0.24630244491397524,0.3491655969191271,0.2888495575221239,0.8374049905821702,"[[18044  2497]
 [ 1521   816]]",[0 0 0 ... 0 0 0]
ETC,0.9009528804965469,0.6738922668142534,0.5203438395415473,0.38853230637569536,0.4448799608035277,0.8944741367124545,"[[19704   837]
 [ 1429   908]]",[0 0 0 ... 0 0 0]
logreg,0.8986799545414809,0.6007650936893864,0.5091434071222329,0.22635857937526743,0.3133886255924171,0.8807538539049569,"[[20031   510]
 [ 1808   529]]",[0 0 0 ... 0 0 0]
KNN,0.9358335518839059,0.7232748879647637,0.8440221694378464,0.45614035087719296,0.5922222222222222,0.927079434603883,"[[20344   197]
 [ 1271  1066]]",[1 1 1 ... 0 0 0]
GaussianNB,0.7337179823411137,0.6306283453631889,0.19206166967360996,0.5010697475395807,0.27768555845387716,0.7796609091353909,"[[15615  4926]
 [ 1166  1171]]",[1 1 1 ... 0 0 0]
Perceptron,0.8687822362094588,0.5126332700452753,0.1568627450980392,0.06504065040650407,0.09195402298850575,0.8437480549212076,"[[19724   817]
 [ 2185   152]]",[0 0 0 ... 0 0 0]
LinearSVC,0.8994667366028499,0.5685906748761783,0.5273264401772526,0.1527599486521181,0.23689449236894491,0.8737339696422893,"[[20221   320]
 [ 1980   357]]",[0 0 0 ... 0 0 0]
SGD,0.8935221610280619,0.5753294438081475,0.44613710554951036,0.17543859649122806,0.25184275184275184,0.872112716269832,"[[20032   509]
 [ 1927   410]]",[0 0 0 ... 0 0 0]
Dtree,0.9186991869918699,0.6680374808790634,0.7033248081841432,0.35301668806161746,0.4700854700854701,0.9063385761297988,"[[20193   348]
 [ 1512   825]]",[0 0 0 ... 0 0 0]
RForest,0.9341288574176064,0.6806118187245535,0.9814385150812065,0.362002567394095,0.5289152860268833,0.920084398978306,"[[20525    16]
 [ 1491   846]]",[0 0 0 ... 0 0 0]
ADA,0.9262173266893959,0.6760163882760795,0.8117195004803074,0.36157466837826274,0.5002960331557135,0.9131918418524604,"[[20345   196]
 [ 1492   845]]",[0 0 0 ... 0 0 0]
GBC,0.922283416382551,0.668327017338878,0.7604846225535881,0.3491655969191271,0.4785923753665689,0.9090395332331577,"[[20284   257]
 [ 1521   816]]",[0 0 0 ... 0 0 0]
ETC,0.9371011452050004,0.6934539137386331,0.9923245614035088,0.38724860932819855,0.5570944906124962,0.9243618438477107,"[[20534     7]
 [ 1432   905]]",[0 0 0 ... 0 0 0]
logreg,0.9052801818340764,0.6036822375787577,0.5965909090909091,0.2246469833119384,0.3263910475598384,0.8854526948541858,"[[20186   355]
 [ 1812   525]]",[0 0 0 ... 0 0 0]
KNN,0.94055424425212,0.7194571063264997,0.9494020239190433,0.441591784338896,0.602803738317757,0.9305809821237547,"[[20486    55]
 [ 1305  1032]]",[0 1 1 ... 0 0 0]
