Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.7090217676370312,0.5120221687561974,0.11123110151187905,0.2644415917843389,0.15659445077917142,0.7559875002246615,"[[15603  4938]
 [ 1719   618]]",[0 0 0 ... 0 0 0]
KNN,0.7913279132791328,0.6388199211333431,0.23083719902805389,0.44715447154471544,0.3044871794871795,0.81874180834764,"[[17059  3482]
 [ 1292  1045]]",[0 1 1 ... 0 0 0]
GaussianNB,0.6695515342250197,0.5916715990355618,0.15323330235028548,0.4937954642704322,0.23388731252533437,0.7326043643495227,"[[14164  6377]
 [ 1183  1154]]",[1 1 1 ... 0 0 0]
Perceptron,0.7430282367339802,0.5400610845062122,0.13664341403364794,0.28498074454428757,0.18471779226182222,0.7797757681291252,"[[16333  4208]
 [ 1671   666]]",[0 0 0 ... 0 0 0]
LinearSVC,0.7199055861526357,0.5068963485096559,0.10772788591250723,0.23919554985023533,0.14855168748339093,0.7625292146905559,"[[15911  4630]
 [ 1778   559]]",[0 0 0 ... 0 0 0]
SGD,0.7698662470495673,0.5311162014866289,0.1347305389221557,0.23106546854942234,0.1702127659574468,0.7952911529617475,"[[17073  3468]
 [ 1797   540]]",[0 0 0 ... 0 0 0]
Dtree,0.8309729871492263,0.6155814173962729,0.256524506683641,0.34488660676080446,0.2942142726774959,0.8417009650311377,"[[18205  2336]
 [ 1531   806]]",[0 0 0 ... 0 0 0]
RForest,0.8553632310516653,0.6337145990432486,0.31534954407294835,0.3551561831407788,0.3340712416985309,0.8591335778989249,"[[18739  1802]
 [ 1507   830]]",[0 0 0 ... 0 0 0]
ADA,0.7322755485619372,0.5657375877257039,0.15273193986065273,0.35643988018827555,0.2138364779874214,0.7748403999508683,"[[15920  4621]
 [ 1504   833]]",[0 0 0 ... 0 0 0]
GBC,0.8221435440160854,0.6064930472815601,0.23757575757575758,0.33547282841249465,0.27816214298385666,0.8352010501651428,"[[18025  2516]
 [ 1553   784]]",[0 0 0 ... 0 0 0]
ETC,0.8934784509135414,0.6625247579295837,0.47282608695652173,0.3722721437740693,0.4165669140531482,0.8877778560502784,"[[19571   970]
 [ 1467   870]]",[0 0 0 ... 0 0 0]
