Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.8854794999562899,0.5769180509327942,0.3787489288774636,0.1891313649978605,0.252283105022831,0.8679456605623641,"[[19816   725]
 [ 1895   442]]",[0 0 0 ... 0 0 0]
KNN,0.7554856193723227,0.5879537459099773,0.17566221868153753,0.3774069319640565,0.23973905952704536,0.7915360325871966,"[[16402  4139]
 [ 1455   882]]",[1 1 1 ... 0 0 0]
GaussianNB,0.9068537459568144,0.6551838556519823,0.5747460087082729,0.33889602053915274,0.42637954239569315,0.8958936174818706,"[[19955   586]
 [ 1545   792]]",[1 1 1 ... 0 0 0]
Perceptron,0.8118716671037678,0.5319450956879566,0.149875400498398,0.18014548566538297,0.16362223085891953,0.819406110194326,"[[18153  2388]
 [ 1916   421]]",[0 0 0 ... 0 0 0]
LinearSVC,0.8957513768686074,0.5337194673554048,0.4423076923076923,0.0787334189131365,0.13367235742826009,0.8617083148416579,"[[20309   232]
 [ 2153   184]]",[0 0 0 ... 0 0 0]
SGD,0.8873153247661509,0.531676057384589,0.3108320251177394,0.08472400513478819,0.13315400134498992,0.8573477157292668,"[[20102   439]
 [ 2139   198]]",[0 0 0 ... 0 0 0]
Dtree,0.7793950520150362,0.5944426935602479,0.19218537028623353,0.362002567394095,0.2510758272740763,0.8073566892267666,"[[16985  3556]
 [ 1491   846]]",[1 1 1 ... 0 0 0]
RForest,0.8118279569892473,0.5736345024969317,0.19723076923076924,0.27428326914848095,0.229461249328799,0.8250645524756667,"[[17932  2609]
 [ 1696   641]]",[1 1 1 ... 0 0 0]
ADA,0.7766413148002448,0.5352683593019353,0.1405237231008556,0.23192126658108686,0.1750080723280594,0.7997564891735757,"[[17226  3315]
 [ 1795   542]]",[1 1 1 ... 0 0 0]
GBC,0.7624792376956028,0.5264336538732548,0.12874610405178613,0.22978177150192555,0.16502765826674862,0.7903972512675687,"[[16907  3634]
 [ 1800   537]]",[1 1 1 ... 0 0 0]
ETC,0.8491126846752338,0.6067223704068115,0.27938266719430155,0.3020967051775781,0.2902960526315789,0.8517091622280142,"[[18720  1821]
 [ 1631   706]]",[1 1 1 ... 0 0 0]
logreg,0.8743334207535624,0.5682460496209122,0.30730659025787965,0.18356867779204109,0.22984195017412268,0.8599016459203698,"[[19574   967]
 [ 1908   429]]",[0 0 0 ... 0 0 0]
KNN,0.8765189264795874,0.6443582667783816,0.3857677902621723,0.35258878904578517,0.36843281913704445,0.8740451404762482,"[[19229  1312]
 [ 1513   824]]",[1 1 1 ... 0 0 0]
GaussianNB,0.7086283766063467,0.5679270470612049,0.14844891992853662,0.3910997004706889,0.21521073699081703,0.7592122256571578,"[[15298  5243]
 [ 1423   914]]",[1 1 1 ... 0 0 0]
Perceptron,0.8267331060407378,0.49566335877667,0.09304652326163082,0.07958921694480103,0.08579335793357934,0.8206868087239774,"[[18728  1813]
 [ 2151   186]]",[0 0 0 ... 0 0 0]
