Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
KNN,0.3679954541480899,0.40420955265335823,0.07388920134983128,0.449721865639709,0.12692470261457642,0.46614952242960644,"[[ 7368 13173]
 [ 1286  1051]]",[0 0 0 ... 1 1 1]
GaussianNB,0.8978494623655914,0.5,0.0,0.0,0.0,0.849523287337415,"[[20541     0]
 [ 2337     0]]",[0 0 0 ... 0 0 0]
Perceptron,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
LinearSVC,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
SGD,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
Dtree,0.11408339889850512,0.3909843983406742,0.08075754033200842,0.7389816003423192,0.1456032375010539,0.08683506061669752,"[[  883 19658]
 [  610  1727]]",[1 0 1 ... 1 1 1]
RForest,0.8789666928927353,0.6028699981295432,0.36732186732186733,0.2558836114676936,0.3016393442622951,0.8691721177406936,"[[19511  1030]
 [ 1739   598]]",[1 1 1 ... 0 0 0]
ADA,0.1874726811784247,0.3247253887603484,0.06255383290267011,0.4972186563970903,0.11112705016018744,0.23737714932257614,"[[ 3127 17414]
 [ 1175  1162]]",[0 0 0 ... 1 1 1]
GBC,0.14013462715272315,0.32509819898072917,0.06534276114537886,0.5575524176294394,0.11697638926294998,0.15749886685847175,"[[ 1903 18638]
 [ 1034  1303]]",[1 1 1 ... 1 1 1]
ETC,0.27257627414983826,0.3044283704734305,0.050581212692428525,0.34445870774497217,0.08820951128643435,0.3635932864447517,"[[ 5431 15110]
 [ 1532   805]]",[1 0 0 ... 1 1 1]
logreg,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
KNN,0.5793775679692281,0.5044814094532373,0.10419382877009996,0.4103551561831408,0.16619010484360108,0.6623048895908468,"[[12296  8245]
 [ 1378   959]]",[0 0 0 ... 1 1 1]
GaussianNB,0.8978494623655914,0.5,0.0,0.0,0.0,0.849523287337415,"[[20541     0]
 [ 2337     0]]",[0 0 0 ... 0 0 0]
Perceptron,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
LinearSVC,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
