Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.8341287945253554,0.8341287945253553,0.9797440290234808,0.6823653272503948,0.8044517076601643,0.8302183582862742,"[[28093   402]
 [ 9051 19444]]",[1 1 1 ... 0 0 0]
KNN,0.920126337954027,0.920126337954027,0.9965984983614717,0.8431303737497806,0.9134633664119235,0.919649992697962,"[[28413    82]
 [ 4470 24025]]",[1 1 1 ... 0 0 0]
GaussianNB,0.543095279873662,0.5430952798736621,0.5385775320432269,0.6016494121775751,0.5683690553151988,0.5415233530727672,"[[13807 14688]
 [11351 17144]]",[1 1 1 ... 1 1 1]
Perceptron,0.8583084751710827,0.8583084751710826,0.9046769718588982,0.8010177224074398,0.8496975337366217,0.857841879473074,"[[26090  2405]
 [ 5670 22825]]",[1 1 1 ... 0 0 0]
LinearSVC,0.8336901210738726,0.8336901210738725,0.9798153100872988,0.6814177925951921,0.8038168570955455,0.829742381157872,"[[28095   400]
 [ 9078 19417]]",[1 1 1 ... 0 0 0]
SGD,0.8310756273030356,0.8310756273030356,0.9700548081714001,0.6832426741533603,0.8017708226088748,0.8273013709467212,"[[27894   601]
 [ 9026 19469]]",[1 1 1 ... 0 0 0]
Dtree,0.8846815230742235,0.8846815230742235,0.9948088295039047,0.7733988419020881,0.8702416679829411,0.8832355311429896,"[[28380   115]
 [ 6457 22038]]",[1 1 1 ... 0 0 0]
RForest,0.9203018073346201,0.9203018073346201,0.9974249283548615,0.8427794349885945,0.9136041999543483,0.9198199478145894,"[[28433    62]
 [ 4480 24015]]",[1 1 1 ... 0 0 0]
ADA,0.7696613440954554,0.7696613440954554,0.898299813394153,0.6081768731356378,0.7253018603385857,0.7634939196092638,"[[26533  1962]
 [11165 17330]]",[1 1 1 ... 0 0 0]
GBC,0.8494121775750132,0.8494121775750132,0.9944872113235659,0.7027197753991928,0.8235245733086572,0.8461004656902887,"[[28384   111]
 [ 8471 20024]]",[1 1 1 ... 0 0 0]
ETC,0.9334795578171609,0.9334795578171609,0.9973425672411016,0.8692753114581505,0.9289156400592525,0.9332042132100579,"[[28429    66]
 [ 3725 24770]]",[1 1 1 ... 0 0 0]
logreg,0.833146165994034,0.833146165994034,0.9711166253101737,0.6867169678891033,0.8045225614143283,0.8294901779291738,"[[27913   582]
 [ 8927 19568]]",[1 1 1 ... 0 0 0]
KNN,0.9209685909808738,0.9209685909808738,0.9994171281069154,0.8424284962274083,0.9142323951708117,0.9204780561738938,"[[28481    14]
 [ 4490 24005]]",[0 0 0 ... 0 0 0]
GaussianNB,0.5391998596244956,0.5391998596244956,0.5353011819733265,0.5944200736971399,0.5633137668989141,0.5377904569873357,"[[13791 14704]
 [11557 16938]]",[1 1 1 ... 1 1 1]
Perceptron,0.8206176522196876,0.8206176522196877,0.8741808650065531,0.7490436918757677,0.8067887584812233,0.8196939747800834,"[[25423  3072]
 [ 7151 21344]]",[1 1 1 ... 0 0 0]
LinearSVC,0.8325495701000175,0.8325495701000176,0.9711146465148652,0.6854886822249517,0.8036783311732395,0.8288480839143186,"[[27914   581]
 [ 8962 19533]]",[1 1 1 ... 0 0 0]
SGD,0.8352517985611511,0.8352517985611512,0.9665917749340627,0.6945078083874364,0.8082664542874063,0.8319223705194396,"[[27811   684]
 [ 8705 19790]]",[1 1 1 ... 0 0 0]
Dtree,0.8843305843130373,0.8843305843130373,0.998407136030583,0.7698894542902264,0.8693825790599984,0.8827955847812903,"[[28460    35]
 [ 6557 21938]]",[0 0 0 ... 0 0 0]
RForest,0.9197929461309001,0.9197929461309001,0.9999582044637633,0.8396209861379189,0.9128021212872703,0.9192740767745015,"[[28494     1]
 [ 4570 23925]]",[0 0 0 ... 0 0 0]
ADA,0.7891735392174065,0.7891735392174066,0.9080824088748018,0.6434813125109669,0.7532195452584879,0.7846014409550981,"[[26639  1856]
 [10159 18336]]",[1 1 1 ... 0 0 0]
GBC,0.858045271100193,0.858045271100193,0.997950119576358,0.7175644849973679,0.8348440307039032,0.8551874162997023,"[[28453    42]
 [ 8048 20447]]",[1 1 1 ... 0 0 0]
ETC,0.9327776802947886,0.9327776802947885,0.9999594583637396,0.8655904544656957,0.9279358928537839,0.9324728544326137,"[[28494     1]
 [ 3830 24665]]",[0 0 0 ... 0 0 0]
logreg,0.826548517283734,0.826548517283734,0.9401191940213792,0.6975258817336375,0.8008542015029111,0.8236122180136286,"[[27229  1266]
 [ 8619 19876]]",[1 1 1 ... 0 0 0]
KNN,0.9218108440077206,0.9218108440077206,0.9978874114576861,0.8454114756974908,0.9153431111786611,0.9213517851146306,"[[28444    51]
 [ 4405 24090]]",[0 0 0 ... 0 0 0]
GaussianNB,0.5263379540270223,0.5263379540270223,0.5226047408210596,0.6089138445341288,0.5624675829875518,0.5230859833689194,"[[12645 15850]
 [11144 17351]]",[1 1 1 ... 1 1 1]
Perceptron,0.7792946130900158,0.7792946130900158,0.8214906079579883,0.7136690647482015,0.763793427230047,0.7783399871207043,"[[24076  4419]
 [ 8159 20336]]",[1 1 1 ... 0 0 0]
LinearSVC,0.8256185295665907,0.8256185295665905,0.9367380560131796,0.6984032286366029,0.8002010454362686,0.8227499623196288,"[[27151  1344]
 [ 8594 19901]]",[1 1 1 ... 0 0 0]
SGD,0.8292507457448676,0.8292507457448675,0.9168666133475518,0.724162133707668,0.8091998196113801,0.8273439991052978,"[[26624  1871]
 [ 7860 20635]]",[1 1 1 ... 0 0 0]
Dtree,0.8791893314616599,0.8791893314616599,0.9875462503384171,0.7680645727320583,0.864085911127781,0.8776788224684907,"[[28219   276]
 [ 6609 21886]]",[0 0 0 ... 0 0 0]
RForest,0.9187927706615195,0.9187927706615195,0.9899010632620386,0.846218634848219,0.9124380368562456,0.9183627870372252,"[[28249   246]
 [ 4382 24113]]",[0 0 0 ... 0 0 0]
ADA,0.7679417441656431,0.7679417441656431,0.8559772472957852,0.644288471661695,0.7351981258634843,0.764338447974764,"[[25406  3089]
 [10136 18359]]",[1 1 1 ... 0 0 0]
GBC,0.8531847692577645,0.8531847692577645,0.9665306879287966,0.7317073170731707,0.8328839355263947,0.8509858007862129,"[[27773   722]
 [ 7645 20850]]",[1 1 1 ... 0 0 0]
ETC,0.9305492191612563,0.9305492191612563,0.995396729254997,0.8650991402000351,0.925685317311303,0.9302504320416857,"[[28381   114]
 [ 3844 24651]]",[0 0 0 ... 0 0 0]
logreg,0.7926302860150903,0.7926302860150903,0.8354318355525162,0.7288296192314441,0.7784983318963902,0.7917827324048309,"[[24404  4091]
 [ 7727 20768]]",[1 1 1 ... 1 1 1]
KNN,0.9234076153711177,0.9234076153711177,0.9963386539410893,0.8499385857167924,0.9173342423725924,0.9229919491445159,"[[28406    89]
 [ 4276 24219]]",[0 0 0 ... 0 0 0]
GaussianNB,0.5204246359010353,0.5204246359010353,0.5176856691382035,0.5978592735567644,0.5548914548149114,0.5175316965574642,"[[12623 15872]
 [11459 17036]]",[1 1 1 ... 1 1 1]
Perceptron,0.7736971398490964,0.7736971398490964,0.8192909195119954,0.7022986488857694,0.7562971221254322,0.7725375946204226,"[[24081  4414]
 [ 8483 20012]]",[1 1 1 ... 1 0 0]
LinearSVC,0.7890156167748728,0.7890156167748728,0.8263005665834621,0.7318827864537638,0.7762310641307181,0.7883246745810447,"[[24111  4384]
 [ 7640 20855]]",[1 1 1 ... 1 1 0]
SGD,0.7907527636427444,0.7907527636427443,0.8470302421043814,0.709668362870679,0.7722889495694018,0.7893679251425916,"[[24843  3652]
 [ 8273 20222]]",[1 1 1 ... 1 1 1]
Dtree,0.8815757150377259,0.8815757150377259,0.9870979302929845,0.7732584663976136,0.86719011354468,0.8801697919812439,"[[28207   288]
 [ 6461 22034]]",[0 0 0 ... 0 0 0]
RForest,0.923653272503948,0.923653272503948,0.9988842053062237,0.8482540796630987,0.9174273622682328,0.923216756827167,"[[28468    27]
 [ 4324 24171]]",[0 0 0 ... 0 0 0]
ADA,0.7291981049306896,0.7291981049306896,0.7818731117824773,0.6357606597648711,0.7012871382947837,0.7268130307537465,"[[23441  5054]
 [10379 18116]]",[1 1 1 ... 0 0 0]
GBC,0.8478329531496753,0.8478329531496753,0.9253315023816676,0.7567292507457448,0.832580408509981,0.8465594139941434,"[[26755  1740]
 [ 6932 21563]]",[1 1 1 ... 0 0 0]
ETC,0.9344972802246008,0.9344972802246008,0.999515855725006,0.8694156869626251,0.929937501173026,0.9342186558567811,"[[28483    12]
 [ 3721 24774]]",[0 0 0 ... 0 0 0]
logreg,0.7681172135462362,0.7681172135462362,0.783214709371293,0.7414634146341463,0.761767409998017,0.7679523611031975,"[[22647  5848]
 [ 7367 21128]]",[1 1 1 ... 1 0 0]
KNN,0.9503597122302159,0.9503597122302159,0.9676067628625564,0.9319178803298824,0.9494270544700476,0.9503428237667858,"[[27606   889]
 [ 1940 26555]]",[0 0 0 ... 0 0 0]
GaussianNB,0.5128443586594139,0.5128443586594139,0.5110781524305346,0.5925600982628532,0.5488112069946208,0.5097288822358464,"[[12342 16153]
 [11610 16885]]",[1 1 1 ... 0 0 0]
Perceptron,0.7285839620986138,0.7285839620986139,0.694369013159858,0.816599403404106,0.750540270296423,0.7264649633315339,"[[18253 10242]
 [ 5226 23269]]",[1 1 1 ... 1 0 0]
