Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.8456044920161432,0.8456044920161432,0.982177830003917,0.7039831549394631,0.8201312373515404,0.8424444631448069,"[[28131   364]
 [ 8435 20060]]",[1 1 1 ... 0 0 0]
KNN,0.9199684155114932,0.9199684155114933,0.9966384462151394,0.8427794349885945,0.9132741343575896,0.919488718126033,"[[28414    81]
 [ 4480 24015]]",[1 1 1 ... 0 0 0]
GaussianNB,0.5476574837690823,0.5476574837690823,0.5432539176965219,0.5985611510791367,0.5695680486216627,0.5464823363520966,"[[14155 14340]
 [11439 17056]]",[1 1 1 ... 1 1 1]
Perceptron,0.8046323916476574,0.8046323916476574,0.96432201123295,0.6326723986664327,0.7640601822420005,0.7986792901028837,"[[27828   667]
 [10467 18028]]",[1 1 1 ... 0 0 0]
LinearSVC,0.8424986839796456,0.8424986839796456,0.9817365121674317,0.6979821021231795,0.8158920293719489,0.8391390971990828,"[[28125   370]
 [ 8606 19889]]",[1 1 1 ... 0 0 0]
SGD,0.8350412353044394,0.8350412353044394,0.9860997963340122,0.6796630987892612,0.8046951282850316,0.8309602150651372,"[[28222   273]
 [ 9128 19367]]",[1 1 1 ... 0 0 0]
Dtree,0.880786102825057,0.880786102825057,0.9956150367697437,0.7649412177575013,0.8651663094387553,0.8791644857044072,"[[28399    96]
 [ 6698 21797]]",[1 1 1 ... 0 0 0]
RForest,0.9221266888927883,0.9221266888927881,0.9976006288007281,0.8462888226004562,0.9157363104731525,0.9216762189108978,"[[28437    58]
 [ 4380 24115]]",[1 1 1 ... 0 0 0]
ADA,0.783172486401123,0.7831724864011229,0.9128210375524404,0.6261449377083699,0.7427822068649694,0.7776908653336357,"[[26791  1704]
 [10653 17842]]",[1 1 1 ... 0 0 0]
GBC,0.8464642919810493,0.8464642919810493,0.9945398988128037,0.6967538164590279,0.8194312600602585,0.842944163957665,"[[28386   109]
 [ 8641 19854]]",[1 1 1 ... 0 0 0]
ETC,0.9339182312686436,0.9339182312686436,0.9974652987326493,0.8700473767327601,0.9294095595126524,0.9336475473631216,"[[28432    63]
 [ 3703 24792]]",[1 1 1 ... 0 0 0]
logreg,0.845025443060186,0.845025443060186,0.9787679571463356,0.7053518161080892,0.81986538853763,0.8419419321441036,"[[28059   436]
 [ 8396 20099]]",[1 1 1 ... 0 0 0]
KNN,0.9207580277241622,0.9207580277241622,0.9992920501395077,0.8421126513423408,0.9139940580482975,0.9202648582797448,"[[28478    17]
 [ 4499 23996]]",[0 0 0 ... 0 0 0]
GaussianNB,0.5409194595543078,0.5409194595543078,0.5375547539293997,0.5857167924197227,0.5606032615084897,0.5399963237020562,"[[14137 14358]
 [11805 16690]]",[1 1 1 ... 1 1 1]
Perceptron,0.762309177048605,0.762309177048605,0.9280192406802955,0.568731356378312,0.70525262195918,0.7530555838618928,"[[27238  1257]
 [12289 16206]]",[1 1 1 ... 0 0 0]
LinearSVC,0.8424635901035269,0.8424635901035269,0.9772582774979215,0.701245832602211,0.8165583752196479,0.8392579999964287,"[[28030   465]
 [ 8513 19982]]",[1 1 1 ... 0 0 0]
SGD,0.8370240393051412,0.8370240393051412,0.9795755305867665,0.6884014739427969,0.8085737840065951,0.8333428040106302,"[[28086   409]
 [ 8879 19616]]",[1 1 1 ... 0 0 0]
Dtree,0.8837339884190208,0.8837339884190208,0.9988594370181122,0.7683453237410072,0.8685682548498433,0.8821650700672147,"[[28470    25]
 [ 6601 21894]]",[0 0 0 ... 0 0 0]
RForest,0.9190735216704685,0.9190735216704685,0.9999162724494495,0.8382172310931743,0.9119544881829637,0.9185409636927676,"[[28493     2]
 [ 4610 23885]]",[0 0 0 ... 0 0 0]
