Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.8143533953325145,0.8143533953325144,0.7603697351975118,0.9180207053869099,0.8317911539317626,0.8123365933708772,"[[20251  8244]
 [ 2336 26159]]",[1 1 1 ... 1 1 1]
KNN,0.9396034391998597,0.9396034391998596,0.8978813963091192,0.9920336901210739,0.9426122911734304,0.9394369555567162,"[[25280  3215]
 [  227 28268]]",[1 1 1 ... 0 1 0]
GaussianNB,0.5719950868573433,0.5719950868573433,0.5576409766514007,0.6965081593261976,0.6193864494585402,0.5652550157261835,"[[12751 15744]
 [ 8648 19847]]",[1 1 1 ... 1 0 0]
Perceptron,0.7557641691524829,0.7557641691524829,0.6939742361332908,0.9150377259168275,0.7893199327954955,0.7494071122663013,"[[16997 11498]
 [ 2421 26074]]",[1 1 1 ... 1 1 1]
LinearSVC,0.814897350412353,0.8148973504123531,0.7637566137566137,0.9118441831900334,0.8312564984403744,0.8131411220463798,"[[20458  8037]
 [ 2512 25983]]",[1 1 1 ... 1 1 1]
SGD,0.8151956483593613,0.8151956483593613,0.7686417611342087,0.9018424284962274,0.8299315333936184,0.813797703990285,"[[20760  7735]
 [ 2797 25698]]",[1 1 1 ... 1 1 1]
Dtree,0.8768204948236533,0.8768204948236533,0.8070752423713787,0.9903842779434988,0.8893826226718351,0.8752111260554236,"[[21749  6746]
 [  274 28221]]",[1 1 1 ... 1 0 0]
RForest,0.9253377785576417,0.9253377785576417,0.8718932187787665,0.9971924899105106,0.93034296472129,0.9249502894312567,"[[24320  4175]
 [   80 28415]]",[1 1 1 ... 0 1 1]
ADA,0.787208282154764,0.7872082821547639,0.7275229357798165,0.9183716441480961,0.8118824168153262,0.7834833673493978,"[[18694  9801]
 [ 2326 26169]]",[1 1 1 ... 1 0 1]
GBC,0.8547815406211616,0.8547815406211616,0.7910967779089522,0.9641691524828917,0.8691003416424142,0.8530228637048071,"[[21240  7255]
 [ 1021 27474]]",[1 1 1 ... 0 1 1]
ETC,0.9314792068783997,0.9314792068783997,0.8811930303218205,0.9974381470433409,0.9357191064873495,0.9311797989651528,"[[24663  3832]
 [   73 28422]]",[1 1 1 ... 0 1 1]
